Workload,N_pts,Duration_s,Mean_W,Median_W,Max_W,Min_W,Std_W,CV_%,P95_W,P99_W
LLaMA2-LoRA (2node),26601,5320.0,658.48,647.01,768.06,106.93,134.78,20.47,754.04,755.64
LLaMA2-LoRA (4node),17290,3457.8,639.66,656.55,764.41,102.85,159.17,24.88,753.8,755.08
LLaMA2-LoRA (8node),10392,2078.2,611.54,610.72,757.5,104.13,181.33,29.65,753.42,754.43
LLaMA2-LoRA (16node),10374,2074.6,597.48,609.83,756.75,93.73,198.22,33.18,751.9,752.88
StableDiff (2node),63771,12754.0,657.02,708.82,751.81,103.63,148.36,22.58,743.7,744.78
StableDiff (4node),36501,7300.0,523.39,607.57,745.74,105.27,215.49,41.17,740.66,741.92
StableDiff (8node),19470,3893.8,503.94,597.47,744.05,105.19,211.88,42.04,741.69,742.64
StableDiff (16node),7015,1402.8,558.67,606.59,743.65,103.16,163.92,29.34,741.86,742.87
Inf-Online-Rate (per trace),179955,179.95,517.39,518.36,524.46,318.77,13.53,2.62,521.67,522.36
Inf-Offline (per trace),511,51.0,705.53,712.37,763.44,198.04,50.14,7.11,756.5,760.02
Inf-Online-Finite (per trace),1190,118.9,521.33,563.97,587.92,186.86,118.47,22.72,578.01,582.33
